id,fips,stname,st_code,year,temp_farenheit,temp_celcius
304,5,Arkansas, AR,1949,60.875,16.04166667
305,5,Arkansas, AR,1950,59.78333333,15.43518519
306,5,Arkansas, AR,1951,60.1,15.61111111
307,5,Arkansas, AR,1952,60.99166667,16.10648148
308,5,Arkansas, AR,1953,61.80833333,16.56018519
309,5,Arkansas, AR,1954,62.78333333,17.10185185
310,5,Arkansas, AR,1955,60.80833333,16.00462963
311,5,Arkansas, AR,1956,61.38333333,16.32407407
312,5,Arkansas, AR,1957,60.575,15.875
313,5,Arkansas, AR,1958,58.75833333,14.86574074
314,5,Arkansas, AR,1959,60,15.55555556
315,5,Arkansas, AR,1960,58.88333333,14.93518519
316,5,Arkansas, AR,1961,59.13333333,15.07407407
317,5,Arkansas, AR,1962,60.30833333,15.72685185
318,5,Arkansas, AR,1963,60.33333333,15.74074074
319,5,Arkansas, AR,1964,60.66666667,15.92592593
320,5,Arkansas, AR,1965,61.025,16.125
321,5,Arkansas, AR,1966,59.175,15.09722222
322,5,Arkansas, AR,1967,59.86666667,15.48148148
323,5,Arkansas, AR,1968,58.66666667,14.81481481
324,5,Arkansas, AR,1969,59.51666667,15.28703704
325,5,Arkansas, AR,1970,59.71666667,15.39814815
326,5,Arkansas, AR,1971,60.46666667,15.81481481
327,5,Arkansas, AR,1972,60.03333333,15.57407407
328,5,Arkansas, AR,1973,60.575,15.875
329,5,Arkansas, AR,1974,60.26666667,15.7037037
330,5,Arkansas, AR,1975,59.875,15.48611111
331,5,Arkansas, AR,1976,58.75,14.86111111
332,5,Arkansas, AR,1977,60.76666667,15.98148148
333,5,Arkansas, AR,1978,58.9,14.94444444
334,5,Arkansas, AR,1979,57.99166667,14.43981481
335,5,Arkansas, AR,1980,60.49166667,15.8287037
336,5,Arkansas, AR,1981,60.225,15.68055556
337,5,Arkansas, AR,1982,59.96666667,15.53703704
338,5,Arkansas, AR,1983,58.86666667,14.92592593
339,5,Arkansas, AR,1984,60.05,15.58333333
340,5,Arkansas, AR,1985,59.84166667,15.46759259
341,5,Arkansas, AR,1986,61.51666667,16.39814815
342,5,Arkansas, AR,1987,61.03333333,16.12962963
343,5,Arkansas, AR,1988,59.75,15.41666667
344,5,Arkansas, AR,1989,58.96666667,14.98148148
345,5,Arkansas, AR,1990,61.84166667,16.5787037
346,5,Arkansas, AR,1991,61.3,16.27777778
347,5,Arkansas, AR,1992,59.89166667,15.49537037
348,5,Arkansas, AR,1993,59.30833333,15.1712963
349,5,Arkansas, AR,1994,60.39166667,15.77314815
350,5,Arkansas, AR,1995,60.475,15.81944444
351,5,Arkansas, AR,1996,59.56666667,15.31481481
352,5,Arkansas, AR,1997,59.65833333,15.36574074
353,5,Arkansas, AR,1998,63.1,17.27777778
354,5,Arkansas, AR,1999,62.15,16.75
355,5,Arkansas, AR,2000,60.89166667,16.05092593
356,5,Arkansas, AR,2001,61.225,16.23611111
357,5,Arkansas, AR,2002,60.58333333,15.87962963
358,5,Arkansas, AR,2003,60.26666667,15.7037037
359,5,Arkansas, AR,2004,61.025,16.125
360,5,Arkansas, AR,2005,61.95833333,16.64351852
361,5,Arkansas, AR,2006,61.99166667,16.66203704
362,5,Arkansas, AR,2007,61.80833333,16.56018519
363,5,Arkansas, AR,2008,59.85833333,15.47685185
364,5,Arkansas, AR,2009,59.925,15.51388889
365,5,Arkansas, AR,2010,61.175,16.20833333
366,5,Arkansas, AR,2011,61.81666667,16.56481481
367,5,Arkansas, AR,2012,63.60833333,17.56018519
368,5,Arkansas, AR,2013,59.64166667,15.35648148
369,5,Arkansas, AR,2014,58.66666667,14.81481481
370,5,Arkansas, AR,2015,61.4,16.33333333
371,5,Arkansas, AR,2016,62.79166667,17.10648148
372,5,Arkansas, AR,2017,62.54166667,16.96759259
373,5,Arkansas, AR,2018,61.16666667,16.2037037
374,5,Arkansas, AR,2019,61.225,16.23611111
375,6,California, CA,1895,56.45833333,13.58796296
376,6,California, CA,1896,57.46666667,14.14814815
377,6,California, CA,1897,56.45833333,13.58796296
378,6,California, CA,1898,56.7,13.72222222
379,6,California, CA,1899,56.55833333,13.64351852
380,6,California, CA,1900,57.49166667,14.16203704
381,6,California, CA,1901,57.24166667,14.02314815
382,6,California, CA,1902,56.16666667,13.42592593
383,6,California, CA,1903,56.20833333,13.44907407
384,6,California, CA,1904,57.41666667,14.12037037
385,6,California, CA,1905,57.075,13.93055556
386,6,California, CA,1906,57.18333333,13.99074074
387,6,California, CA,1907,56.525,13.625
388,6,California, CA,1908,56.23333333,13.46296296
389,6,California, CA,1909,56.225,13.45833333
390,6,California, CA,1910,57.65833333,14.25462963
391,6,California, CA,1911,55.375,12.98611111
392,6,California, CA,1912,55.54166667,13.0787037
393,6,California, CA,1913,56.45,13.58333333
